Unnamed: 0,drug_a_name,drug_b_name,cell,synergy,drug1_db,drug2_db
5-FU_BORTEZOMIB_SKMEL30,5-FU,BORTEZOMIB,SKMEL30,-172.8887021,DB00544,DB00188
5-FU_BORTEZOMIB_SKMES1,5-FU,BORTEZOMIB,SKMES1,-11.64272985,DB00544,DB00188
5-FU_BORTEZOMIB_SKOV3,5-FU,BORTEZOMIB,SKOV3,-4.604893623,DB00544,DB00188
5-FU_BORTEZOMIB_SW620,5-FU,BORTEZOMIB,SW620,-1.907966818,DB00544,DB00188
5-FU_BORTEZOMIB_SW837,5-FU,BORTEZOMIB,SW837,-1.3618595,DB00544,DB00188
5-FU_BORTEZOMIB_T47D,5-FU,BORTEZOMIB,T47D,2.748791181,DB00544,DB00188
5-FU_BORTEZOMIB_UACC62,5-FU,BORTEZOMIB,UACC62,-17.84185108,DB00544,DB00188
5-FU_BORTEZOMIB_VCAP,5-FU,BORTEZOMIB,VCAP,-7.053510631,DB00544,DB00188
5-FU_BORTEZOMIB_ZR751,5-FU,BORTEZOMIB,ZR751,-17.45137527,DB00544,DB00188
5-FU_DASATINIB_A2058,5-FU,DASATINIB,A2058,31.12564418,DB00544,DB01254
5-FU_DASATINIB_A2780,5-FU,DASATINIB,A2780,50.60366026,DB00544,DB01254
5-FU_DASATINIB_A375,5-FU,DASATINIB,A375,2.683689159,DB00544,DB01254
5-FU_DASATINIB_CAOV3,5-FU,DASATINIB,CAOV3,17.87983173,DB00544,DB01254
5-FU_DASATINIB_DLD1,5-FU,DASATINIB,DLD1,21.43309088,DB00544,DB01254
5-FU_DASATINIB_ES2,5-FU,DASATINIB,ES2,17.69019535,DB00544,DB01254
5-FU_DASATINIB_HCT116,5-FU,DASATINIB,HCT116,-7.819271786,DB00544,DB01254
5-FU_DASATINIB_HT144,5-FU,DASATINIB,HT144,-22.97327812,DB00544,DB01254
5-FU_DASATINIB_HT29,5-FU,DASATINIB,HT29,17.06698076,DB00544,DB01254
5-FU_DASATINIB_KPL1,5-FU,DASATINIB,KPL1,3.446811911,DB00544,DB01254
5-FU_DASATINIB_LOVO,5-FU,DASATINIB,LOVO,21.38558819,DB00544,DB01254
5-FU_DASATINIB_MDAMB436,5-FU,DASATINIB,MDAMB436,18.71869688,DB00544,DB01254
5-FU_DASATINIB_NCIH1650,5-FU,DASATINIB,NCIH1650,23.23497071,DB00544,DB01254
5-FU_DASATINIB_NCIH2122,5-FU,DASATINIB,NCIH2122,-31.1947196,DB00544,DB01254
5-FU_DASATINIB_NCIH23,5-FU,DASATINIB,NCIH23,11.55914675,DB00544,DB01254
5-FU_DASATINIB_NCIH460,5-FU,DASATINIB,NCIH460,21.6687261,DB00544,DB01254
5-FU_DASATINIB_NCIH520,5-FU,DASATINIB,NCIH520,42.73505144,DB00544,DB01254
5-FU_DASATINIB_OV90,5-FU,DASATINIB,OV90,0.433034774,DB00544,DB01254
5-FU_DASATINIB_RKO,5-FU,DASATINIB,RKO,17.31163283,DB00544,DB01254
5-FU_DASATINIB_RPMI7951,5-FU,DASATINIB,RPMI7951,19.06355103,DB00544,DB01254
5-FU_DASATINIB_SKMEL30,5-FU,DASATINIB,SKMEL30,-4.618694814,DB00544,DB01254
5-FU_DASATINIB_SKMES1,5-FU,DASATINIB,SKMES1,2.981820492,DB00544,DB01254
5-FU_DASATINIB_SKOV3,5-FU,DASATINIB,SKOV3,1.304656068,DB00544,DB01254
5-FU_DASATINIB_SW620,5-FU,DASATINIB,SW620,30.44463084,DB00544,DB01254
5-FU_DASATINIB_SW837,5-FU,DASATINIB,SW837,15.87733689,DB00544,DB01254
5-FU_DASATINIB_T47D,5-FU,DASATINIB,T47D,18.86560141,DB00544,DB01254
5-FU_DASATINIB_UACC62,5-FU,DASATINIB,UACC62,12.12396034,DB00544,DB01254
5-FU_DASATINIB_VCAP,5-FU,DASATINIB,VCAP,21.45572644,DB00544,DB01254
5-FU_DASATINIB_ZR751,5-FU,DASATINIB,ZR751,5.114279433,DB00544,DB01254
5-FU_ERLOTINIB_A2058,5-FU,ERLOTINIB,A2058,9.694285755,DB00544,DB00530
5-FU_ERLOTINIB_A2780,5-FU,ERLOTINIB,A2780,16.5693311,DB00544,DB00530
5-FU_ERLOTINIB_A375,5-FU,ERLOTINIB,A375,13.96439243,DB00544,DB00530
5-FU_ERLOTINIB_CAOV3,5-FU,ERLOTINIB,CAOV3,-7.951635169,DB00544,DB00530
5-FU_ERLOTINIB_DLD1,5-FU,ERLOTINIB,DLD1,10.18127129,DB00544,DB00530
5-FU_ERLOTINIB_ES2,5-FU,ERLOTINIB,ES2,15.1231625,DB00544,DB00530
5-FU_ERLOTINIB_HCT116,5-FU,ERLOTINIB,HCT116,14.45297793,DB00544,DB00530
5-FU_ERLOTINIB_HT144,5-FU,ERLOTINIB,HT144,9.559453271,DB00544,DB00530
5-FU_ERLOTINIB_HT29,5-FU,ERLOTINIB,HT29,11.33747162,DB00544,DB00530
5-FU_ERLOTINIB_KPL1,5-FU,ERLOTINIB,KPL1,-3.015273458,DB00544,DB00530
5-FU_ERLOTINIB_LOVO,5-FU,ERLOTINIB,LOVO,12.41733168,DB00544,DB00530
5-FU_ERLOTINIB_MDAMB436,5-FU,ERLOTINIB,MDAMB436,16.1498979,DB00544,DB00530
5-FU_ERLOTINIB_NCIH1650,5-FU,ERLOTINIB,NCIH1650,0.92478625,DB00544,DB00530
5-FU_ERLOTINIB_NCIH2122,5-FU,ERLOTINIB,NCIH2122,24.45497683,DB00544,DB00530
5-FU_ERLOTINIB_NCIH23,5-FU,ERLOTINIB,NCIH23,6.37341014,DB00544,DB00530
5-FU_ERLOTINIB_NCIH460,5-FU,ERLOTINIB,NCIH460,17.22484698,DB00544,DB00530
5-FU_ERLOTINIB_NCIH520,5-FU,ERLOTINIB,NCIH520,7.235758199,DB00544,DB00530
5-FU_ERLOTINIB_OV90,5-FU,ERLOTINIB,OV90,-11.04004585,DB00544,DB00530
5-FU_ERLOTINIB_RKO,5-FU,ERLOTINIB,RKO,20.98757258,DB00544,DB00530
5-FU_ERLOTINIB_RPMI7951,5-FU,ERLOTINIB,RPMI7951,17.00484175,DB00544,DB00530
5-FU_ERLOTINIB_SKMEL30,5-FU,ERLOTINIB,SKMEL30,13.95488386,DB00544,DB00530
5-FU_ERLOTINIB_SKMES1,5-FU,ERLOTINIB,SKMES1,21.28942476,DB00544,DB00530
5-FU_ERLOTINIB_SKOV3,5-FU,ERLOTINIB,SKOV3,16.21061763,DB00544,DB00530
5-FU_ERLOTINIB_SW620,5-FU,ERLOTINIB,SW620,0.494890451,DB00544,DB00530
5-FU_ERLOTINIB_SW837,5-FU,ERLOTINIB,SW837,17.29938762,DB00544,DB00530
5-FU_ERLOTINIB_T47D,5-FU,ERLOTINIB,T47D,-3.049710368,DB00544,DB00530
5-FU_ERLOTINIB_UACC62,5-FU,ERLOTINIB,UACC62,17.96898601,DB00544,DB00530
5-FU_ERLOTINIB_VCAP,5-FU,ERLOTINIB,VCAP,24.41379314,DB00544,DB00530
5-FU_ERLOTINIB_ZR751,5-FU,ERLOTINIB,ZR751,22.8306176,DB00544,DB00530
5-FU_GELDANAMYCIN_A2058,5-FU,GELDANAMYCIN,A2058,7.376709238,DB00544,DB02424
5-FU_GELDANAMYCIN_A2780,5-FU,GELDANAMYCIN,A2780,0.911963942,DB00544,DB02424
5-FU_GELDANAMYCIN_A375,5-FU,GELDANAMYCIN,A375,7.160975098,DB00544,DB02424
5-FU_GELDANAMYCIN_CAOV3,5-FU,GELDANAMYCIN,CAOV3,-12.98670671,DB00544,DB02424
5-FU_GELDANAMYCIN_DLD1,5-FU,GELDANAMYCIN,DLD1,2.433895807,DB00544,DB02424
5-FU_GELDANAMYCIN_ES2,5-FU,GELDANAMYCIN,ES2,-5.25702499,DB00544,DB02424
5-FU_GELDANAMYCIN_HCT116,5-FU,GELDANAMYCIN,HCT116,2.916663442,DB00544,DB02424
5-FU_GELDANAMYCIN_HT144,5-FU,GELDANAMYCIN,HT144,5.372215888,DB00544,DB02424
5-FU_GELDANAMYCIN_HT29,5-FU,GELDANAMYCIN,HT29,-3.946071269,DB00544,DB02424
5-FU_GELDANAMYCIN_KPL1,5-FU,GELDANAMYCIN,KPL1,2.330576841,DB00544,DB02424
5-FU_GELDANAMYCIN_LOVO,5-FU,GELDANAMYCIN,LOVO,-6.353136659,DB00544,DB02424
5-FU_GELDANAMYCIN_MDAMB436,5-FU,GELDANAMYCIN,MDAMB436,5.799105229,DB00544,DB02424
5-FU_GELDANAMYCIN_NCIH1650,5-FU,GELDANAMYCIN,NCIH1650,-6.752269383,DB00544,DB02424
5-FU_GELDANAMYCIN_NCIH2122,5-FU,GELDANAMYCIN,NCIH2122,-2.692734853,DB00544,DB02424
5-FU_GELDANAMYCIN_NCIH23,5-FU,GELDANAMYCIN,NCIH23,-9.33481084,DB00544,DB02424
5-FU_GELDANAMYCIN_NCIH460,5-FU,GELDANAMYCIN,NCIH460,-2.446804514,DB00544,DB02424
5-FU_GELDANAMYCIN_NCIH520,5-FU,GELDANAMYCIN,NCIH520,3.513037679,DB00544,DB02424
5-FU_GELDANAMYCIN_OV90,5-FU,GELDANAMYCIN,OV90,0.284508898,DB00544,DB02424
5-FU_GELDANAMYCIN_RKO,5-FU,GELDANAMYCIN,RKO,5.246180398,DB00544,DB02424
5-FU_GELDANAMYCIN_RPMI7951,5-FU,GELDANAMYCIN,RPMI7951,-8.084247184,DB00544,DB02424
5-FU_GELDANAMYCIN_SKMEL30,5-FU,GELDANAMYCIN,SKMEL30,-80.63896867,DB00544,DB02424
5-FU_GELDANAMYCIN_SKMES1,5-FU,GELDANAMYCIN,SKMES1,2.703605277,DB00544,DB02424
5-FU_GELDANAMYCIN_SKOV3,5-FU,GELDANAMYCIN,SKOV3,-9.188164195,DB00544,DB02424
5-FU_GELDANAMYCIN_SW620,5-FU,GELDANAMYCIN,SW620,-2.851271236,DB00544,DB02424
5-FU_GELDANAMYCIN_SW837,5-FU,GELDANAMYCIN,SW837,-10.01418099,DB00544,DB02424
5-FU_GELDANAMYCIN_T47D,5-FU,GELDANAMYCIN,T47D,30.67999441,DB00544,DB02424
5-FU_GELDANAMYCIN_UACC62,5-FU,GELDANAMYCIN,UACC62,-1.345401011,DB00544,DB02424
5-FU_GELDANAMYCIN_VCAP,5-FU,GELDANAMYCIN,VCAP,14.04451922,DB00544,DB02424
5-FU_GELDANAMYCIN_ZR751,5-FU,GELDANAMYCIN,ZR751,-15.00928456,DB00544,DB02424
5-FU_LAPATINIB_A2058,5-FU,LAPATINIB,A2058,9.192138149,DB00544,DB01259
5-FU_LAPATINIB_A2780,5-FU,LAPATINIB,A2780,8.011124809,DB00544,DB01259
5-FU_LAPATINIB_A375,5-FU,LAPATINIB,A375,7.497787303,DB00544,DB01259
5-FU_LAPATINIB_CAOV3,5-FU,LAPATINIB,CAOV3,-6.77752803,DB00544,DB01259
5-FU_LAPATINIB_DLD1,5-FU,LAPATINIB,DLD1,11.55462668,DB00544,DB01259
5-FU_LAPATINIB_ES2,5-FU,LAPATINIB,ES2,5.344512472,DB00544,DB01259
5-FU_LAPATINIB_HCT116,5-FU,LAPATINIB,HCT116,9.688038389,DB00544,DB01259
5-FU_LAPATINIB_HT144,5-FU,LAPATINIB,HT144,4.670574992,DB00544,DB01259
5-FU_LAPATINIB_HT29,5-FU,LAPATINIB,HT29,4.533085635,DB00544,DB01259
5-FU_LAPATINIB_KPL1,5-FU,LAPATINIB,KPL1,-9.537311313,DB00544,DB01259
5-FU_LAPATINIB_LOVO,5-FU,LAPATINIB,LOVO,17.4905864,DB00544,DB01259
5-FU_LAPATINIB_MDAMB436,5-FU,LAPATINIB,MDAMB436,3.644635579,DB00544,DB01259
5-FU_LAPATINIB_NCIH1650,5-FU,LAPATINIB,NCIH1650,0.905817371,DB00544,DB01259
5-FU_LAPATINIB_NCIH2122,5-FU,LAPATINIB,NCIH2122,9.956195978,DB00544,DB01259
5-FU_LAPATINIB_NCIH23,5-FU,LAPATINIB,NCIH23,-8.734799525,DB00544,DB01259
5-FU_LAPATINIB_NCIH460,5-FU,LAPATINIB,NCIH460,-2.035012581,DB00544,DB01259
5-FU_LAPATINIB_NCIH520,5-FU,LAPATINIB,NCIH520,-7.263521908,DB00544,DB01259
5-FU_LAPATINIB_OV90,5-FU,LAPATINIB,OV90,-9.295070254,DB00544,DB01259
5-FU_LAPATINIB_RKO,5-FU,LAPATINIB,RKO,11.54453602,DB00544,DB01259
5-FU_LAPATINIB_RPMI7951,5-FU,LAPATINIB,RPMI7951,3.318764866,DB00544,DB01259
5-FU_LAPATINIB_SKMEL30,5-FU,LAPATINIB,SKMEL30,9.483503745,DB00544,DB01259
5-FU_LAPATINIB_SKMES1,5-FU,LAPATINIB,SKMES1,11.05964102,DB00544,DB01259
5-FU_LAPATINIB_SKOV3,5-FU,LAPATINIB,SKOV3,7.118783779,DB00544,DB01259
5-FU_LAPATINIB_SW620,5-FU,LAPATINIB,SW620,-2.41819166,DB00544,DB01259
5-FU_LAPATINIB_SW837,5-FU,LAPATINIB,SW837,6.956325429,DB00544,DB01259
5-FU_LAPATINIB_T47D,5-FU,LAPATINIB,T47D,14.90928278,DB00544,DB01259
5-FU_LAPATINIB_UACC62,5-FU,LAPATINIB,UACC62,9.119946303,DB00544,DB01259
5-FU_LAPATINIB_VCAP,5-FU,LAPATINIB,VCAP,10.63255814,DB00544,DB01259
5-FU_LAPATINIB_ZR751,5-FU,LAPATINIB,ZR751,14.67630666,DB00544,DB01259
5-FU_SORAFENIB_A2058,5-FU,SORAFENIB,A2058,1.487456177,DB00544,DB00398
5-FU_SORAFENIB_A2780,5-FU,SORAFENIB,A2780,2.077318362,DB00544,DB00398
5-FU_SORAFENIB_A375,5-FU,SORAFENIB,A375,1.312446684,DB00544,DB00398
5-FU_SORAFENIB_CAOV3,5-FU,SORAFENIB,CAOV3,-16.67220342,DB00544,DB00398
5-FU_SORAFENIB_DLD1,5-FU,SORAFENIB,DLD1,6.320510556,DB00544,DB00398
5-FU_SORAFENIB_ES2,5-FU,SORAFENIB,ES2,0.126680077,DB00544,DB00398
5-FU_SORAFENIB_HCT116,5-FU,SORAFENIB,HCT116,-1.955025391,DB00544,DB00398
5-FU_SORAFENIB_HT144,5-FU,SORAFENIB,HT144,4.459502599,DB00544,DB00398
5-FU_SORAFENIB_HT29,5-FU,SORAFENIB,HT29,-3.551610833,DB00544,DB00398
5-FU_SORAFENIB_KPL1,5-FU,SORAFENIB,KPL1,-5.046283575,DB00544,DB00398
5-FU_SORAFENIB_LOVO,5-FU,SORAFENIB,LOVO,-13.81534377,DB00544,DB00398
5-FU_SORAFENIB_MDAMB436,5-FU,SORAFENIB,MDAMB436,-4.304317076,DB00544,DB00398
5-FU_SORAFENIB_NCIH1650,5-FU,SORAFENIB,NCIH1650,-2.500149835,DB00544,DB00398
5-FU_SORAFENIB_NCIH2122,5-FU,SORAFENIB,NCIH2122,-3.768823231,DB00544,DB00398
5-FU_SORAFENIB_NCIH23,5-FU,SORAFENIB,NCIH23,-1.286810998,DB00544,DB00398
5-FU_SORAFENIB_NCIH460,5-FU,SORAFENIB,NCIH460,-0.895637539,DB00544,DB00398
5-FU_SORAFENIB_NCIH520,5-FU,SORAFENIB,NCIH520,5.28680143,DB00544,DB00398
5-FU_SORAFENIB_OV90,5-FU,SORAFENIB,OV90,2.416837201,DB00544,DB00398
5-FU_SORAFENIB_RKO,5-FU,SORAFENIB,RKO,1.883583913,DB00544,DB00398
5-FU_SORAFENIB_RPMI7951,5-FU,SORAFENIB,RPMI7951,-5.041472651,DB00544,DB00398
5-FU_SORAFENIB_SKMEL30,5-FU,SORAFENIB,SKMEL30,2.120028283,DB00544,DB00398
5-FU_SORAFENIB_SKMES1,5-FU,SORAFENIB,SKMES1,0.28515445,DB00544,DB00398
5-FU_SORAFENIB_SKOV3,5-FU,SORAFENIB,SKOV3,10.2363359,DB00544,DB00398
5-FU_SORAFENIB_SW620,5-FU,SORAFENIB,SW620,0.574152697,DB00544,DB00398
5-FU_SORAFENIB_SW837,5-FU,SORAFENIB,SW837,-8.60896251,DB00544,DB00398
5-FU_SORAFENIB_T47D,5-FU,SORAFENIB,T47D,-4.531377558,DB00544,DB00398
5-FU_SORAFENIB_UACC62,5-FU,SORAFENIB,UACC62,0.326449314,DB00544,DB00398
5-FU_SORAFENIB_VCAP,5-FU,SORAFENIB,VCAP,1.444307744,DB00544,DB00398
5-FU_SORAFENIB_ZR751,5-FU,SORAFENIB,ZR751,-11.36179266,DB00544,DB00398
5-FU_SUNITINIB_A2058,5-FU,SUNITINIB,A2058,9.621620126,DB00544,DB01268
5-FU_SUNITINIB_A2780,5-FU,SUNITINIB,A2780,9.700986375,DB00544,DB01268
5-FU_SUNITINIB_A375,5-FU,SUNITINIB,A375,7.351048597,DB00544,DB01268
5-FU_SUNITINIB_CAOV3,5-FU,SUNITINIB,CAOV3,5.092136253,DB00544,DB01268
5-FU_SUNITINIB_DLD1,5-FU,SUNITINIB,DLD1,10.90526109,DB00544,DB01268
5-FU_SUNITINIB_ES2,5-FU,SUNITINIB,ES2,14.41382075,DB00544,DB01268
5-FU_SUNITINIB_HCT116,5-FU,SUNITINIB,HCT116,7.332783493,DB00544,DB01268
5-FU_SUNITINIB_HT144,5-FU,SUNITINIB,HT144,4.677389118,DB00544,DB01268
5-FU_SUNITINIB_HT29,5-FU,SUNITINIB,HT29,3.379046398,DB00544,DB01268
5-FU_SUNITINIB_KPL1,5-FU,SUNITINIB,KPL1,7.229487797,DB00544,DB01268
5-FU_SUNITINIB_LOVO,5-FU,SUNITINIB,LOVO,2.082310176,DB00544,DB01268
5-FU_SUNITINIB_MDAMB436,5-FU,SUNITINIB,MDAMB436,5.231389265,DB00544,DB01268
5-FU_SUNITINIB_NCIH1650,5-FU,SUNITINIB,NCIH1650,4.374037921,DB00544,DB01268
5-FU_SUNITINIB_NCIH2122,5-FU,SUNITINIB,NCIH2122,5.838627875,DB00544,DB01268
5-FU_SUNITINIB_NCIH23,5-FU,SUNITINIB,NCIH23,3.141670668,DB00544,DB01268
5-FU_SUNITINIB_NCIH460,5-FU,SUNITINIB,NCIH460,7.129324107,DB00544,DB01268
5-FU_SUNITINIB_NCIH520,5-FU,SUNITINIB,NCIH520,5.810341082,DB00544,DB01268
5-FU_SUNITINIB_OV90,5-FU,SUNITINIB,OV90,3.664358548,DB00544,DB01268
5-FU_SUNITINIB_RKO,5-FU,SUNITINIB,RKO,7.996355114,DB00544,DB01268
5-FU_SUNITINIB_RPMI7951,5-FU,SUNITINIB,RPMI7951,-1.343261089,DB00544,DB01268
5-FU_SUNITINIB_SKMEL30,5-FU,SUNITINIB,SKMEL30,3.667165234,DB00544,DB01268
5-FU_SUNITINIB_SKMES1,5-FU,SUNITINIB,SKMES1,11.90261481,DB00544,DB01268
5-FU_SUNITINIB_SKOV3,5-FU,SUNITINIB,SKOV3,18.2643848,DB00544,DB01268
5-FU_SUNITINIB_SW620,5-FU,SUNITINIB,SW620,6.859498039,DB00544,DB01268
5-FU_SUNITINIB_SW837,5-FU,SUNITINIB,SW837,-4.901836837,DB00544,DB01268
5-FU_SUNITINIB_T47D,5-FU,SUNITINIB,T47D,8.941154332,DB00544,DB01268
5-FU_SUNITINIB_UACC62,5-FU,SUNITINIB,UACC62,8.795687473,DB00544,DB01268
5-FU_SUNITINIB_VCAP,5-FU,SUNITINIB,VCAP,12.48379896,DB00544,DB01268
5-FU_SUNITINIB_ZR751,5-FU,SUNITINIB,ZR751,6.169627433,DB00544,DB01268
5-FU_ZOLINZA_A2058,5-FU,ZOLINZA,A2058,-5.508119589,DB00544,DB02546
5-FU_ZOLINZA_A2780,5-FU,ZOLINZA,A2780,-3.848401273,DB00544,DB02546
5-FU_ZOLINZA_A375,5-FU,ZOLINZA,A375,0.369467134,DB00544,DB02546
5-FU_ZOLINZA_CAOV3,5-FU,ZOLINZA,CAOV3,-3.518537503,DB00544,DB02546
5-FU_ZOLINZA_DLD1,5-FU,ZOLINZA,DLD1,0.049805671,DB00544,DB02546
5-FU_ZOLINZA_ES2,5-FU,ZOLINZA,ES2,-1.689816761,DB00544,DB02546
5-FU_ZOLINZA_HCT116,5-FU,ZOLINZA,HCT116,-8.735905545,DB00544,DB02546
5-FU_ZOLINZA_HT144,5-FU,ZOLINZA,HT144,-4.394725666,DB00544,DB02546
5-FU_ZOLINZA_HT29,5-FU,ZOLINZA,HT29,-1.42768389,DB00544,DB02546
5-FU_ZOLINZA_KPL1,5-FU,ZOLINZA,KPL1,-4.343384834,DB00544,DB02546
5-FU_ZOLINZA_LOVO,5-FU,ZOLINZA,LOVO,-8.398048463,DB00544,DB02546
5-FU_ZOLINZA_MDAMB436,5-FU,ZOLINZA,MDAMB436,4.86044214,DB00544,DB02546
5-FU_ZOLINZA_NCIH1650,5-FU,ZOLINZA,NCIH1650,0.631303772,DB00544,DB02546
5-FU_ZOLINZA_NCIH2122,5-FU,ZOLINZA,NCIH2122,10.65626958,DB00544,DB02546
5-FU_ZOLINZA_NCIH23,5-FU,ZOLINZA,NCIH23,-15.10567636,DB00544,DB02546
5-FU_ZOLINZA_NCIH460,5-FU,ZOLINZA,NCIH460,7.057218329,DB00544,DB02546
5-FU_ZOLINZA_NCIH520,5-FU,ZOLINZA,NCIH520,-7.702952771,DB00544,DB02546
5-FU_ZOLINZA_OV90,5-FU,ZOLINZA,OV90,-0.210268239,DB00544,DB02546
5-FU_ZOLINZA_RKO,5-FU,ZOLINZA,RKO,11.04834069,DB00544,DB02546
5-FU_ZOLINZA_RPMI7951,5-FU,ZOLINZA,RPMI7951,-0.240638175,DB00544,DB02546
5-FU_ZOLINZA_SKMEL30,5-FU,ZOLINZA,SKMEL30,-4.880397628,DB00544,DB02546
5-FU_ZOLINZA_SKMES1,5-FU,ZOLINZA,SKMES1,14.06216364,DB00544,DB02546
5-FU_ZOLINZA_SKOV3,5-FU,ZOLINZA,SKOV3,5.702955068,DB00544,DB02546
5-FU_ZOLINZA_SW620,5-FU,ZOLINZA,SW620,-17.22800516,DB00544,DB02546
5-FU_ZOLINZA_SW837,5-FU,ZOLINZA,SW837,-3.532158377,DB00544,DB02546
5-FU_ZOLINZA_T47D,5-FU,ZOLINZA,T47D,7.530007948,DB00544,DB02546
5-FU_ZOLINZA_UACC62,5-FU,ZOLINZA,UACC62,3.932423451,DB00544,DB02546
5-FU_ZOLINZA_VCAP,5-FU,ZOLINZA,VCAP,22.99565591,DB00544,DB02546
