GeneSym,source_desc,protein,cell,Tissue,target_id,weight
SHH,na,6469,HT29,large intestine,-666,1
CCDC42,na,146849,HT29,large intestine,-666,1
ZNF587,na,84914,HT29,large intestine,-666,1
AATK,na,9625,HT29,large intestine,-666,1
LIPE,na,3991,HT29,large intestine,-666,1
MCRS1,na,10445,HT29,large intestine,-666,1
TENC1,na,23371,HT29,large intestine,-666,1
XKRX,na,402415,HT29,large intestine,-666,1
IFNA5,na,3442,HT29,large intestine,-666,1
C6orf201,na,404220,HT29,large intestine,-666,1
CYTH2,na,9266,HT29,large intestine,-666,1
MZF1,na,7593,HT29,large intestine,-666,1
ZNF784,na,147808,HT29,large intestine,-666,1
ZFAND2B,na,130617,HT29,large intestine,-666,1
OIP5,na,11339,HT29,large intestine,-666,1
HIRA,na,7290,HT29,large intestine,-666,1
LSM14B,na,149986,HT29,large intestine,-666,1
RCC1,na,1104,HT29,large intestine,-666,1
CDK8,na,1024,HT29,large intestine,-666,1
U2AF2,na,11338,HT29,large intestine,-666,1
PPA2,na,27068,HT29,large intestine,-666,1
UQCR10,na,29796,HT29,large intestine,-666,1
MARK2,na,2011,HT29,large intestine,-666,1
MRPL49,na,740,HT29,large intestine,-666,1
PPP1CA,na,5499,HT29,large intestine,-666,1
UQCC3,na,790955,HT29,large intestine,-666,1
TMEM223,na,79064,HT29,large intestine,-666,1
HNRNPUL2,na,221092,HT29,large intestine,-666,1
SPG21,na,51324,HT29,large intestine,-666,1
SNUPN,na,10073,HT29,large intestine,-666,1
PLEKHJ1,na,55111,HT29,large intestine,-666,1
PIH1D1,na,55011,HT29,large intestine,-666,1
SMG9,na,56006,HT29,large intestine,-666,1
SNRNP70,na,6625,HT29,large intestine,-666,1
RAB1B,na,81876,HT29,large intestine,-666,1
TMEM222,na,84065,HT29,large intestine,-666,1
LYPLA2,na,11313,HT29,large intestine,-666,1
ERF,na,2077,HT29,large intestine,-666,1
AP2B1,na,163,HT29,large intestine,-666,1
TAF15,na,8148,HT29,large intestine,-666,1
ZNHIT2,na,741,HT29,large intestine,-666,1
TRAF7,na,84231,HT29,large intestine,-666,1
NUBP2,na,10101,HT29,large intestine,-666,1
SLC25A1,na,6576,HT29,large intestine,-666,1
TRMT2A,na,27037,HT29,large intestine,-666,1
GNB1L,na,54584,HT29,large intestine,-666,1
CHMP1A,na,5119,HT29,large intestine,-666,1
CHTF8,na,54921,HT29,large intestine,-666,1
NELFB,na,25920,HT29,large intestine,-666,1
PTGES2,na,80142,HT29,large intestine,-666,1
TMEM141,na,85014,HT29,large intestine,-666,1
GTF3A,na,2971,HT29,large intestine,-666,1
SPHK2,na,56848,HT29,large intestine,-666,1
EIF3H,na,8667,HT29,large intestine,-666,1
MRPL13,na,28998,HT29,large intestine,-666,1
NDUFB9,na,4715,HT29,large intestine,-666,1
FAM91A1,na,157769,HT29,large intestine,-666,1
SQLE,na,6713,HT29,large intestine,-666,1
CHRAC1,na,54108,HT29,large intestine,-666,1
TPRG1L,na,127262,HT29,large intestine,-666,1
FIZ1,na,84922,HT29,large intestine,-666,1
IRF2BP1,na,26145,HT29,large intestine,-666,1
CNOT3,na,4849,HT29,large intestine,-666,1
CFL1,na,1072,HT29,large intestine,-666,1
AGO2,na,27161,HT29,large intestine,-666,1
GNB2,na,2783,HT29,large intestine,-666,1
BCL7B,na,9275,HT29,large intestine,-666,1
GET4,na,51608,HT29,large intestine,-666,1
AP1S1,na,1174,HT29,large intestine,-666,1
MOB2,na,81532,HT29,large intestine,-666,1
PDCD6,na,10016,HT29,large intestine,-666,1
C2orf15,na,150590,HT29,large intestine,-666,1
DOK4,na,55715,HT29,large intestine,-666,1
NYNRIN,na,57523,HT29,large intestine,-666,1
MRAP2,na,112609,HT29,large intestine,-666,1
AKR7A3,na,22977,HT29,large intestine,-666,1
ANXA13,na,312,HT29,large intestine,-666,1
TM4SF4,na,7104,HT29,large intestine,-666,1
MLXIP,na,22877,HT29,large intestine,-666,1
AKAP7,na,9465,HT29,large intestine,-666,1
SLC29A2,na,3177,HT29,large intestine,-666,1
NEUROG3,na,50674,HT29,large intestine,-666,1
SLC25A22,na,79751,HT29,large intestine,-666,1
CBX8,na,57332,HT29,large intestine,-666,1
ETV2,na,2116,HT29,large intestine,-666,1
DNM1,na,1759,HT29,large intestine,-666,1
ALPK3,na,57538,HT29,large intestine,-666,1
BTBD9,na,114781,COLO205,large intestine,-666,1
COG6,na,57511,COLO205,large intestine,-666,1
PRKCA,na,5578,COLO205,large intestine,-666,1
CDK15,na,65061,COLO205,large intestine,-666,1
CYP27A1,na,1593,COLO205,large intestine,-666,1
GJB1,na,2705,COLO205,large intestine,-666,1
SIPA1L2,na,57568,COLO205,large intestine,-666,1
DEPDC7,na,91614,COLO205,large intestine,-666,1
KREMEN1,na,83999,COLO205,large intestine,-666,1
AQP1,na,358,COLO205,large intestine,-666,1
SORBS1,na,10580,COLO205,large intestine,-666,1
UEVLD,na,55293,COLO205,large intestine,-666,1
MPST,na,4357,COLO205,large intestine,-666,1
TST,na,7263,COLO205,large intestine,-666,1
AACS,na,65985,COLO205,large intestine,-666,1
ZNRF3,na,84133,COLO205,large intestine,-666,1
TSC22D1,na,8848,COLO205,large intestine,-666,1
ALS2,na,57679,COLO205,large intestine,-666,1
CDC42BPA,na,8476,COLO205,large intestine,-666,1
MGST3,na,4259,COLO205,large intestine,-666,1
TMEM14A,na,28978,COLO205,large intestine,-666,1
HCN1,na,348980,COLO205,large intestine,-666,1
FAM169A,na,26049,COLO205,large intestine,-666,1
WT1,na,7490,COLO205,large intestine,-666,1
SLC17A1,na,6568,COLO205,large intestine,-666,1
ARL4C,na,10123,COLO205,large intestine,-666,1
HSPA12A,na,259217,COLO205,large intestine,-666,1
COASY,na,80347,COLO205,large intestine,-666,1
REEP6,na,92840,COLO205,large intestine,-666,1
TMEM62,na,80021,COLO205,large intestine,-666,1
LIMK2,na,3985,COLO205,large intestine,-666,1
GSDMB,na,55876,COLO205,large intestine,-666,1
BSPRY,na,54836,COLO205,large intestine,-666,1
MAP7,na,9053,COLO205,large intestine,-666,1
SAYSD1,na,55776,COLO205,large intestine,-666,1
SPATA2,na,9825,COLO205,large intestine,-666,1
POLR1D,na,51082,COLO205,large intestine,-666,1
ARHGEF10L,na,55160,COLO205,large intestine,-666,1
TM9SF2,na,9375,COLO205,large intestine,-666,1
UBAC2,na,337867,COLO205,large intestine,-666,1
CARKD,na,55739,COLO205,large intestine,-666,1
MTIF3,na,219402,COLO205,large intestine,-666,1
MICU2,na,221154,COLO205,large intestine,-666,1
RNF6,na,6049,COLO205,large intestine,-666,1
ZDHHC20,na,253832,COLO205,large intestine,-666,1
IFT88,na,8100,COLO205,large intestine,-666,1
MRPL57,na,78988,COLO205,large intestine,-666,1
SAP18,na,10284,COLO205,large intestine,-666,1
MED4,na,29079,COLO205,large intestine,-666,1
NUPL1,na,9818,COLO205,large intestine,-666,1
POMP,na,51371,COLO205,large intestine,-666,1
SUGT1,na,10910,COLO205,large intestine,-666,1
INTS6,na,26512,COLO205,large intestine,-666,1
EXOSC8,na,11340,COLO205,large intestine,-666,1
WBP4,na,11193,COLO205,large intestine,-666,1
GPALPP1,na,55425,COLO205,large intestine,-666,1
MTRF1,na,9617,COLO205,large intestine,-666,1
USPL1,na,10208,COLO205,large intestine,-666,1
PROSER1,na,80209,COLO205,large intestine,-666,1
ESD,na,2098,COLO205,large intestine,-666,1
UTP14C,na,9724,COLO205,large intestine,-666,1
N4BP2L2,na,10443,COLO205,large intestine,-666,1
MPHOSPH8,na,54737,COLO205,large intestine,-666,1
COG3,na,83548,COLO205,large intestine,-666,1
VWA8,na,23078,COLO205,large intestine,-666,1
LRCH1,na,23143,COLO205,large intestine,-666,1
NEK3,na,4752,COLO205,large intestine,-666,1
SUCLA2,na,8803,COLO205,large intestine,-666,1
NUDT15,na,55270,COLO205,large intestine,-666,1
UCHL3,na,7347,COLO205,large intestine,-666,1
XPO4,na,64328,COLO205,large intestine,-666,1
DIS3,na,22894,COLO205,large intestine,-666,1
PIBF1,na,10464,COLO205,large intestine,-666,1
CLN5,na,1203,COLO205,large intestine,-666,1
TUBGCP3,na,10426,COLO205,large intestine,-666,1
DLEU1,na,10301,COLO205,large intestine,-666,1
FASTKD5,na,60493,COLO205,large intestine,-666,1
MGME1,na,92667,COLO205,large intestine,-666,1
MKKS,na,8195,COLO205,large intestine,-666,1
DPEP1,na,1800,COLO205,large intestine,-666,1
GPA33,na,10223,COLO205,large intestine,-666,1
MUC13,na,56667,COLO205,large intestine,-666,1
APOBEC1,na,339,COLO205,large intestine,-666,1
SLC5A1,na,6523,COLO205,large intestine,-666,1
RIPK3,na,11035,COLO205,large intestine,-666,1
PRAP1,na,118471,COLO205,large intestine,-666,1
ANO9,na,338440,COLO205,large intestine,-666,1
FERMT1,na,55612,COLO205,large intestine,-666,1
MYO15B,na,80022,COLO205,large intestine,-666,1
LAD1,na,3898,COLO205,large intestine,-666,1
TMPRSS2,na,7113,COLO205,large intestine,-666,1
MIPEP,na,4285,COLO205,large intestine,-666,1
CRYL1,na,51084,COLO205,large intestine,-666,1
PPP1R1B,na,84152,COLO205,large intestine,-666,1
LNX2,na,222484,COLO205,large intestine,-666,1
RAB20,na,55647,COLO205,large intestine,-666,1
DNAJC15,na,29103,COLO205,large intestine,-666,1
EPHB2,na,2048,COLO205,large intestine,-666,1
CCL24,na,6369,COLO205,large intestine,-666,1
LRP4,na,4038,COLO205,large intestine,-666,1
ACADS,na,35,COLO205,large intestine,-666,1
GMDS,na,2762,COLO205,large intestine,-666,1
TUBAL3,na,79861,COLO205,large intestine,-666,1
AIFM3,na,150209,COLO205,large intestine,-666,1
ARHGAP27,na,201176,COLO205,large intestine,-666,1
DGKQ,na,1609,COLO205,large intestine,-666,1
ABHD2,na,11057,COLO205,large intestine,-666,1
CYP4F12,na,66002,COLO205,large intestine,-666,1
GPX2,na,2877,COLO205,large intestine,-666,1
BCL2L15,na,440603,COLO205,large intestine,-666,1
FOXP4,na,116113,COLO205,large intestine,-666,1
SGK2,na,10110,COLO205,large intestine,-666,1
NOXO1,na,124056,COLO205,large intestine,-666,1
PLA2G2A,na,5320,COLO205,large intestine,-666,1
SMOC2,na,64094,COLO205,large intestine,-666,1
CD46,na,4179,COLO205,large intestine,-666,1
TRAF5,na,7188,COLO205,large intestine,-666,1
PCK1,na,5105,COLO205,large intestine,-666,1
PEX7,na,5191,COLO205,large intestine,-666,1
IFT172,na,26160,COLO205,large intestine,-666,1
ASB4,na,51666,COLO205,large intestine,-666,1
BAAT,na,570,COLO205,large intestine,-666,1
UNC5CL,na,222643,COLO205,large intestine,-666,1
CYP2C18,na,1562,COLO205,large intestine,-666,1
PFKFB2,na,5208,COLO205,large intestine,-666,1
SREBF1,na,6720,COLO205,large intestine,-666,1
PIWIL1,na,9271,COLO205,large intestine,-666,1
TLCD2,na,727910,COLO205,large intestine,-666,1
PADI1,na,29943,COLO205,large intestine,-666,1
SLC26A9,na,115019,COLO205,large intestine,-666,1
MTMR11,na,10903,COLO205,large intestine,-666,1
FASLG,na,356,COLO205,large intestine,-666,1
IL20RA,na,53832,COLO205,large intestine,-666,1
CST5,na,1473,COLO205,large intestine,-666,1
SP5,na,389058,COLO205,large intestine,-666,1
FGF3,na,2248,COLO205,large intestine,-666,1
FGF19,na,9965,COLO205,large intestine,-666,1
ATP9B,na,374868,COLO205,large intestine,-666,1
IBA57,na,200205,COLO205,large intestine,-666,1
FGD5,na,152273,COLO205,large intestine,-666,1
KLHL3,na,26249,COLO205,large intestine,-666,1
PRSS1,na,5644,COLO205,large intestine,-666,1
PRSS3,na,5646,COLO205,large intestine,-666,1
KRTCAP3,na,200634,COLO205,large intestine,-666,1
ERI2,na,112479,COLO205,large intestine,-666,1
MLXIPL,na,51085,COLO205,large intestine,-666,1
CYP4F2,na,8529,COLO205,large intestine,-666,1
A1CF,na,29974,COLO205,large intestine,-666,1
UGT2B4,na,7363,COLO205,large intestine,-666,1
HGD,na,3081,COLO205,large intestine,-666,1
C4BPA,na,722,COLO205,large intestine,-666,1
SERPINA4,na,5267,COLO205,large intestine,-666,1
AKR1C4,na,1109,COLO205,large intestine,-666,1
PLA2G4F,na,255189,COLO205,large intestine,-666,1
FAM83F,na,113828,COLO205,large intestine,-666,1
ZBTB7C,na,201501,COLO205,large intestine,-666,1
ASPRV1,na,151516,COLO205,large intestine,-666,1
FAM83B,na,222584,COLO205,large intestine,-666,1
SPRR1A,na,6698,COLO205,large intestine,-666,1
GJB2,na,2706,COLO205,large intestine,-666,1
ZNF750,na,79755,COLO205,large intestine,-666,1
JMJD7,na,100137047,COLO205,large intestine,-666,1
EVPL,na,2125,COLO205,large intestine,-666,1
CHMP4B,na,128866,COLO205,large intestine,-666,1
DTX2,na,113878,COLO205,large intestine,-666,1
TNS4,na,84951,COLO205,large intestine,-666,1
RASSF10,na,644943,COLO205,large intestine,-666,1
ATP11A,na,23250,COLO205,large intestine,-666,1
SFTPA2,na,729238,COLO205,large intestine,-666,1
ERAP1,na,51752,COLO205,large intestine,-666,1
EPSTI1,na,94240,COLO205,large intestine,-666,1
HSPA5,na,3309,COLO205,large intestine,-666,1
PDIA3,na,2923,COLO205,large intestine,-666,1
ERP44,na,23071,COLO205,large intestine,-666,1
ADCK3,na,56997,COLO205,large intestine,-666,1
TBPL1,na,9519,COLO205,large intestine,-666,1
KCNK5,na,8645,COLO205,large intestine,-666,1
UBXN10,na,127733,COLO205,large intestine,-666,1
ITPKA,na,3706,COLO205,large intestine,-666,1
TGM5,na,9333,COLO205,large intestine,-666,1
FCN1,na,2219,COLO205,large intestine,-666,1
COMMD6,na,170622,COLO205,large intestine,-666,1
TRERF1,na,55809,COLO205,large intestine,-666,1
SIMC1,na,375484,COLO205,large intestine,-666,1
CCR6,na,1235,COLO205,large intestine,-666,1
ADAMTS17,na,170691,COLO205,large intestine,-666,1
HDAC4,na,9759,COLO205,large intestine,-666,1
TCF7,na,6932,COLO205,large intestine,-666,1
LCK,na,3932,COLO205,large intestine,-666,1
ADA,na,100,COLO205,large intestine,-666,1
GZMA,na,3001,COLO205,large intestine,-666,1
ZNF69,na,7620,COLO205,large intestine,-666,1
LRP5L,na,91355,COLO205,large intestine,-666,1
MRPS31,na,10240,COLO205,large intestine,-666,1
ACY3,na,91703,COLO205,large intestine,-666,1
CXCR3,na,2833,COLO205,large intestine,-666,1
PBX4,na,80714,COLO205,large intestine,-666,1
CLYBL,na,171425,COLO205,large intestine,-666,1
GZMH,na,2999,COLO205,large intestine,-666,1
IL26,na,55801,COLO205,large intestine,-666,1
IL1R2,na,7850,COLO205,large intestine,-666,1
DNAJC3,na,5611,COLO205,large intestine,-666,1
STS,na,412,COLO205,large intestine,-666,1
SLC1A5,na,6510,COLO205,large intestine,-666,1
ICK,na,22858,COLO205,large intestine,-666,1
S100A5,na,6276,COLO205,large intestine,-666,1
CXCR1,na,3577,COLO205,large intestine,-666,1
HCRTR1,na,3061,COLO205,large intestine,-666,1
SLC5A11,na,115584,COLO205,large intestine,-666,1
ASB17,na,127247,COLO205,large intestine,-666,1
TEX37,na,200523,COLO205,large intestine,-666,1
WFDC9,na,259240,COLO205,large intestine,-666,1
ODF4,na,146852,COLO205,large intestine,-666,1
CD300LB,na,124599,COLO205,large intestine,-666,1
ASB16,na,92591,COLO205,large intestine,-666,1
LUZP4,na,51213,COLO205,large intestine,-666,1
PGC,na,5225,COLO205,large intestine,-666,1
NTSR2,na,23620,COLO205,large intestine,-666,1
ARHGEF15,na,22899,COLO205,large intestine,-666,1
GP2,na,2813,COLO205,large intestine,-666,1
GUCA1B,na,2979,COLO205,large intestine,-666,1
SERPINA12,na,145264,COLO205,large intestine,-666,1
PDZD9,na,255762,COLO205,large intestine,-666,1
TNK2,na,10188,COLO205,large intestine,-666,1
C19orf57,na,79173,COLO205,large intestine,-666,1
PRSS50,na,29122,COLO205,large intestine,-666,1
GFRA4,na,64096,COLO205,large intestine,-666,1
GPR101,na,83550,COLO205,large intestine,-666,1
CYP17A1,na,1586,COLO205,large intestine,-666,1
LYZL4,na,131375,COLO205,large intestine,-666,1
NBPF3,na,84224,COLO205,large intestine,-666,1
CHAD,na,1101,COLO205,large intestine,-666,1
APOBEC2,na,10930,COLO205,large intestine,-666,1
USP49,na,25862,COLO205,large intestine,-666,1
BTN1A1,na,696,COLO205,large intestine,-666,1
CCDC87,na,55231,COLO205,large intestine,-666,1
STPG2,na,285555,COLO205,large intestine,-666,1
MTNR1A,na,4543,COLO205,large intestine,-666,1
WDR88,na,126248,COLO205,large intestine,-666,1
GCM2,na,9247,COLO205,large intestine,-666,1
DRD3,na,1814,COLO205,large intestine,-666,1
NTPCR,na,84284,COLO205,large intestine,-666,1
ACTR5,na,79913,COLO205,large intestine,-666,1
RFC3,na,5983,COLO205,large intestine,-666,1
OIP5,na,11339,COLO205,large intestine,-666,1
MCM3,na,4172,COLO205,large intestine,-666,1
PCNA,na,5111,COLO205,large intestine,-666,1
MTFR2,na,113115,COLO205,large intestine,-666,1
SKA3,na,221150,COLO205,large intestine,-666,1
HNRNPAB,na,3182,COLO205,large intestine,-666,1
RRM1,na,6240,COLO205,large intestine,-666,1
TAF8,na,129685,COLO205,large intestine,-666,1
GTF2A2,na,2958,COLO205,large intestine,-666,1
NFYA,na,4800,COLO205,large intestine,-666,1
SP2,na,6668,COLO205,large intestine,-666,1
HBS1L,na,10767,COLO205,large intestine,-666,1
AHI1,na,54806,COLO205,large intestine,-666,1
UQCRQ,na,27089,COLO205,large intestine,-666,1
MRPL50,na,54534,COLO205,large intestine,-666,1
RFK,na,55312,COLO205,large intestine,-666,1
COX20,na,116228,COLO205,large intestine,-666,1
MRPL48,na,51642,COLO205,large intestine,-666,1
MAD1L1,na,8379,COLO205,large intestine,-666,1
PPCDC,na,60490,COLO205,large intestine,-666,1
NDUFAF1,na,51103,COLO205,large intestine,-666,1
UBR1,na,197131,COLO205,large intestine,-666,1
GALK2,na,2585,COLO205,large intestine,-666,1
PPIP5K1,na,9677,COLO205,large intestine,-666,1
DEDD2,na,162989,COLO205,large intestine,-666,1
GLO1,na,2739,COLO205,large intestine,-666,1
FBXO9,na,26268,COLO205,large intestine,-666,1
BYSL,na,705,COLO205,large intestine,-666,1
MRPS10,na,55173,COLO205,large intestine,-666,1
OARD1,na,221443,COLO205,large intestine,-666,1
TBCC,na,6903,COLO205,large intestine,-666,1
MED20,na,9477,COLO205,large intestine,-666,1
UBR2,na,23304,COLO205,large intestine,-666,1
C6orf226,na,441150,COLO205,large intestine,-666,1
GLTSCR1L,na,23506,COLO205,large intestine,-666,1
PHF3,na,23469,COLO205,large intestine,-666,1
GTF3C5,na,9328,COLO205,large intestine,-666,1
SURF6,na,6838,COLO205,large intestine,-666,1
MRRF,na,92399,COLO205,large intestine,-666,1
C9orf156,na,51531,COLO205,large intestine,-666,1
SLC52A2,na,79581,COLO205,large intestine,-666,1
FBXL6,na,26233,COLO205,large intestine,-666,1
APITD1,na,378708,COLO205,large intestine,-666,1
UBR4,na,23352,COLO205,large intestine,-666,1
CTNNBIP1,na,56998,COLO205,large intestine,-666,1
FEM1C,na,56929,COLO205,large intestine,-666,1
TAF9,na,6880,COLO205,large intestine,-666,1
TTC39B,na,158219,COLO205,large intestine,-666,1
GNRHR,na,2798,COLO205,large intestine,-666,1
NPHS2,na,7827,COLO205,large intestine,-666,1
SPAG11B,na,10407,COLO205,large intestine,-666,1
URB1,na,9875,COLO205,large intestine,-666,1
ALDH8A1,na,64577,COLO205,large intestine,-666,1
SLC12A7,na,10723,COLO205,large intestine,-666,1
MRPL23,na,6150,COLO205,large intestine,-666,1
ARHGAP26,na,23092,COLO205,large intestine,-666,1
HOXC5,na,3222,COLO205,large intestine,-666,1
PDK3,na,5165,COLO205,large intestine,-666,1
GRM8,na,2918,COLO205,large intestine,-666,1
CACNA1E,na,777,COLO205,large intestine,-666,1
